TIMESTAMP,SET.Close,SET50.Close 2,SET100.Close 3,MAI.Close 4,AGRI.Close 5,FOOD.Close 6,FASHION.Close 7,HOME.Close 8,PERSON.Close 9,BANK.Close 10,FIN.Close 11,INSUR.Close 12,AUTO.Close 13,IMM.Close 14,PAPER.Close 15,PETRO.Close 16,PKG.Close 17,STEEL.Close 18,CONMAT.Close 19,CONS.Close 20,PFNREIT.Close 21,PROP.Close 22,ENERG.Close 23,MINE.Close 24,COMM.Close 25,HELTH.Close 26,MEDIA.Close 27,PROF.Close 28,TOURISM.Close 29,TRANS.Close 30,ETRON.Close 31,ICT.Close 32
15-May-2018,1766.86,1168.56,2588.73,479.35,195.59,12432.41,725.93,34.05,542.63,515.41,3576.82,13403.95,576.60,59.52,3432.02,1592.65,4035.21,39.04,11904.33,96.39,198.60,321.88,26893.63,16.28,46825.11,5839.40,60.57,192.76,741.00,397.77,1562.00,168.17
16-May-2018,1750.62,1156.63,2562.53,475.15,194.56,12369.48,733.31,33.86,523.85,512.32,3396.28,13439.92,570.57,58.64,3516.41,1570.53,3973.00,39.21,11774.45,98.86,198.70,319.91,26859.27,16.20,46220.28,5812.81,60.21,194.04,725.54,391.87,1548.66,163.72
17-May-2018,1751.20,1158.80,2566.99,473.75,193.60,12317.66,735.23,34.01,493.08,505.42,3428.70,13317.28,579.73,58.58,3460.15,1594.71,3974.58,39.02,11770.51,98.50,198.22,319.66,27342.07,15.95,45620.68,5910.94,59.87,194.04,718.28,392.40,1541.47,159.66
18-May-2018,1754.17,1161.26,2572.13,474.78,195.86,12339.09,732.61,34.10,474.90,506.41,3461.73,13335.97,588.31,58.95,3319.49,1594.99,3942.36,38.92,11759.69,97.91,199.05,319.30,27280.78,15.95,45468.32,5998.12,59.79,193.14,718.66,390.35,1540.66,163.60
21-May-2018,1768.31,1171.03,2594.19,474.16,199.53,12380.39,732.73,34.16,452.86,517.64,3498.78,13380.70,587.01,59.97,3375.76,1602.15,4034.05,38.93,11895.23,100.82,199.47,321.80,27478.93,15.79,45895.56,5999.95,60.67,191.48,729.54,389.96,1576.51,163.89
22-May-2018,1760.71,1165.04,2582.72,473.35,200.18,12299.42,731.14,34.10,469.13,519.80,3500.36,13393.24,586.45,59.60,3403.89,1600.81,4030.17,38.84,11913.99,101.65,198.65,319.25,27103.73,15.54,45548.18,5989.46,60.76,191.48,734.64,388.20,1587.19,164.36
23-May-2018,1753.60,1156.18,2566.61,471.95,198.56,12195.19,733.45,34.26,469.54,518.98,3508.10,13391.06,585.97,59.46,3460.15,1606.43,4037.50,39.03,11794.04,103.44,198.49,322.14,26679.24,15.12,45331.49,5998.24,61.58,191.86,732.00,387.06,1587.93,164.83
24-May-2018,1732.51,1139.91,2531.84,469.07,198.79,12034.38,730.89,33.14,457.06,514.83,3449.91,13382.25,579.81,58.75,3403.89,1571.11,4024.48,38.78,11771.03,102.22,198.50,320.55,25902.37,15.04,44954.29,6058.69,59.92,192.76,728.73,388.39,1594.69,162.74
25-May-2018,1741.21,1147.49,2547.09,468.53,195.79,12080.78,729.36,33.32,459.99,518.40,3432.96,13357.90,580.64,58.70,3375.76,1564.17,4027.19,38.72,11840.35,103.36,197.65,323.89,26216.09,15.04,45019.06,6092.56,59.84,192.39,717.14,388.12,1586.02,163.63
28-May-2018,1734.54,1140.74,2536.59,466.67,197.90,12048.86,729.43,33.22,458.12,523.91,3456.10,13360.71,583.98,58.60,3403.89,1529.71,4002.77,38.60,11770.94,103.51,197.26,324.85,25675.53,15.04,45533.76,6121.26,59.74,191.11,732.56,385.99,1567.39,163.14
29-May-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-2018,1725.14,1133.06,2519.48,463.55,195.10,12045.07,732.06,33.34,451.67,520.15,3376.17,13309.30,577.31,57.88,3403.89,1509.66,3980.20,38.89,11536.68,103.60,197.17,323.35,25855.54,14.95,45322.41,5963.47,58.60,191.48,715.59,382.17,1525.19,162.71
31-May-2018,1726.97,1134.76,2522.98,460.88,195.57,12000.44,730.49,33.41,442.93,512.75,3302.46,13225.93,583.98,57.85,3432.02,1520.12,3968.53,38.70,11419.03,104.89,196.92,323.61,26101.71,14.46,45337.00,6061.02,57.34,191.11,716.98,387.25,1525.50,162.36
01-Jun-2018,1719.82,1129.66,2509.37,458.99,193.64,11982.64,735.40,33.12,436.06,517.78,3346.11,13304.99,587.16,57.72,3432.02,1500.56,3961.88,38.53,11548.80,103.63,197.47,322.97,25694.45,14.04,44837.08,6062.99,57.47,190.73,713.70,386.66,1555.88,160.89
04-Jun-2018,1721.29,1131.82,2512.41,456.91,195.46,12040.04,735.06,33.16,427.50,517.00,3294.90,13306.07,585.58,57.63,3375.76,1500.19,3995.76,38.26,11609.34,101.65,197.16,324.48,25842.41,13.87,43913.38,6070.86,56.43,191.64,716.00,390.79,1545.92,162.59
