Symbol,Sector,Total Asset,TotalLiabilities,Paid-upCap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return onEquity,Return onAsset,Gross ProfitMargin,Net ProfitMargin,EBIT Margin,D/E,Current Ratio,FixedAssetTurnover,TotalAssetTurnover
IRPC *,Energy & Utilities,167484257.00,94902008.00,20434419.00,72453850.00,85130061.00,95773008.00,-6191853.00,-10642947.00,-9315831.00,-0.46,-1301379.00,-2435262.00,4364187.00,627546.00,-14.06,-6.99,-9.26,-10.94,-12.50,1.31,0.66,1.68,1.16
PTG *,Energy & Utilities,40677183.00,33565779.00,1670000.00,7047331.00,51662154.00,50225653.00,2855509.00,1436501.00,713232.00,0.43,1839705.00,-1027413.00,-1178656.00,-366364.00,20.27,7.53,9.68,1.38,2.78,4.76,0.26,10.04,3.57
PTT *,Energy & Utilities,2449276586.51,1182785248.73,28562996.25,862750795.27,843122211.91,818765266.86,94824501.87,24356945.05,10498933.91,0.36,99440179.58,-130893683.72,-5885335.89,-37338840.02,5.55,4.22,6.75,1.25,2.89,1.37,2.39,1.47,0.81
PTTEP *,Energy & Utilities,672438194.67,311307514.04,3969985.40,361130680.63,87935410.61,59093473.67,61348128.97,28841936.94,12935347.88,3.22,37646228.72,-28764340.14,-16657567.36,-7775678.78,9.79,10.71,92.19,14.71,32.80,0.86,3.28,0.66,0.31
RATCH *,Energy & Utilities,105446179.00,46332340.00,14500000.00,59113174.00,20767792.00,17202869.00,4476134.00,3564923.00,2434981.00,1.68,2775742.00,-4684363.00,1673635.00,-234986.00,7.93,6.73,4.16,11.72,17.17,0.78,1.92,1.72,0.40
SGP *,Energy & Utilities,38919136.00,27798505.00,918932.00,10795146.00,28063655.00,27239315.00,1445055.00,824340.00,487426.00,0.27,286849.00,-390225.00,-283588.00,-386964.00,13.22,6.18,3.97,1.74,2.94,2.58,1.18,3.24,1.64
SPRC,Energy & Utilities,45495719.99,19412893.68,30004442.70,26082826.32,65429269.18,74313980.40,-7458030.76,-8884711.22,-7134572.86,-1.65,-1544835.37,-212010.74,1825483.01,68636.89,-34.67,-27.36,-13.00,-10.90,-13.58,0.74,1.46,5.24,2.74
SUPER *,Energy & Utilities,60178921.00,40803551.00,2734947.00,16483091.00,3594924.00,1797018.00,2890925.00,1797906.00,866924.00,0.03,1237350.00,-8384524.00,7409108.00,261934.00,15.06,7.38,53.61,24.12,50.01,2.48,0.63,0.21,0.14
TOP *,Energy & Utilities,298170348.00,187338678.00,20400279.00,106956474.00,130364283.00,142369076.00,-7767100.00,-12004793.00,-11274127.00,-5.53,-899138.00,-66440256.00,26893800.00,-40445594.00,-8.74,-3.44,-11.76,-8.65,-9.21,1.75,4.90,2.72,1.13
TPIPP *,Energy & Utilities,39161176.00,11591978.00,8400000.00,27569194.00,5524562.00,3213541.00,2748707.00,2311021.00,2138796.00,0.26,2752567.00,-1748679.00,-705125.00,299238.00,16.71,13.43,44.51,38.71,41.83,0.42,1.63,0.37,0.31
